"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"F. Sherwood Rowland","male","1927-06-28","Delaware, OH","USA","Delaware, OH","USA","North America","283","283","1995","Chemistry","The Nobel Prize in Chemistry","3","1/3","1995-10-11","received","for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",7200000,"University of California","University of California","Irvine, CA","USA","Irvine, CA","USA","North America"
"F.W. de Klerk","male","1936-03-18","Johannesburg","South Africa","Johannesburg","South Africa","Africa","556","556","1993","Peace","The Nobel Peace Prize","2","1/2","1993-10-15","received","for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",6700000,,,,,,,
"Felix Bloch","male","1905-10-23","Zurich","Switzerland","Zurich","Switzerland","Europe","58","58","1952","Physics","The Nobel Prize in Physics","1","1/2","1952-11-06","received","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith",171135,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Feodor Lynen","male","1911-04-06","Munich","Germany","Munich","Germany","Europe","379","379","1964","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","1964-10-15","received","for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism",273000,"Max-Planck-Institut für Zellchemie","Max-Planck-Institut für Zellchemie","Munich","Germany","Munich","Germany","Europe"
"Ferdinand Braun","male","1850-06-06","Fulda","Hesse-Kassel","Fulda","Germany","Europe","14","14","1909","Physics","The Nobel Prize in Physics","2","1/2","1909-11-09","received","in recognition of their contributions to the development of wireless telegraphy",139800,"Strasbourg University","Strasbourg University","Strasbourg","Germany","Strasbourg","France","Europe"
"Ferdinand Buisson","male","1841-12-20","Paris","France","Paris","France","Europe","492","492","1927","Peace","The Nobel Peace Prize","1","1/2","1927-12-10","received","for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation",126501,,,,,,,
"Ferenc Krausz","male","1962-05-17","Mór","Hungary","Mór","Hungary","Europe","1027","1027","2023","Physics","The Nobel Prize in Physics","2","1/3","2023-10-03","received","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter",11000000,"Max Planck Institute of Quantum Optics","Max Planck Institute of Quantum Optics","Garching","Germany","Garching","Germany","Europe"
"Ferenc Krausz","male","1962-05-17","Mór","Hungary","Mór","Hungary","Europe","1027","1027","2023","Physics","The Nobel Prize in Physics","2","1/3","2023-10-03","received","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter",11000000,"Ludwig-Maximilians-Universität München","Ludwig-Maximilians-Universität München","Munich","Germany","Munich","Germany","Europe"
"Ferid Murad","male","1936-09-14","Whiting, IN","USA","Whiting, IN","USA","North America","460","460","1998","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1998-10-12","received","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system",7600000,"University of Texas Medical School at Houston","University of Texas Medical School at Houston","Houston, TX","USA","Houston, TX","USA","North America"
"Finn E. Kydland","male","1943-12-01","Gjesdal","Norway","Gjesdal","Norway","Europe","786","786","2004","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","2004-10-11","received","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles",10000000,"Carnegie Mellon University","Carnegie Mellon University","Pittsburgh, PA","USA","Pittsburgh, PA","USA","North America"
"Finn E. Kydland","male","1943-12-01","Gjesdal","Norway","Gjesdal","Norway","Europe","786","786","2004","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","2004-10-11","received","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles",10000000,"University of California","University of California","Santa Barbara, CA","USA","Santa Barbara, CA","USA","North America"
"Frances H. Arnold","female","1956-07-25","Pittsburgh, PA","USA","Pittsburgh, PA","USA","North America","963","963","2018","Chemistry","The Nobel Prize in Chemistry","1","1/2","2018-10-03","received","for the directed evolution of enzymes",9000000,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"Francis Crick","male","1916-06-08","Northampton","United Kingdom","Northampton","United Kingdom","Europe","372","372","1962","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1962-10-18","received","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material",257220,"MRC Laboratory of Molecular Biology","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Francis W. Aston","male","1877-09-01","Harborne","United Kingdom","Harborne","United Kingdom","Europe","180","180","1922","Chemistry","The Nobel Prize in Chemistry","1","1","1922-11-09","received","for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",122483,"University of Cambridge","University of Cambridge","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Franco Modigliani","male","1918-06-18","Rome","Italy","Rome","Italy","Europe","699","699","1985","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1985-10-15","received","for his pioneering analyses of saving and of financial markets",1800000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"François Englert","male","1932-11-06","Etterbeek","Belgium","Etterbeek","Belgium","Europe","887","887","2013","Physics","The Nobel Prize in Physics","1","1/2","2013-10-08","received","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",8000000,"Université Libre de Bruxelles","Université Libre de Bruxelles","Brussels","Belgium","Brussels","Belgium","Europe"
"François Jacob","male","1920-06-17","Nancy","France","Nancy","France","Europe","380","380","1965","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1965-10-14","received","for their discoveries concerning genetic control of enzyme and virus synthesis",282000,"Institut Pasteur","Institut Pasteur","Paris","France","Paris","France","Europe"
"François Mauriac","male","1885-10-11","Bordeaux","France","Bordeaux","France","Europe","623","623","1952","Literature","The Nobel Prize in Literature","1","1","1952-11-06","received","for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life",171135,,,,,,,
"Françoise Barré-Sinoussi","female","1947-07-30","Paris","France","Paris","France","Europe","824","824","2008","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/4","2008-10-06","received","for their discovery of human immunodeficiency virus",10000000,"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","Paris","France","Paris","France","Europe"
"Frank B. Kellogg","male","1856-12-22","Potsdam, NY","USA","Potsdam, NY","USA","North America","494","494","1929","Peace","The Nobel Peace Prize","1","1","1930-12-10","received","for his crucial role in bringing about the Briand-Kellogg Pact",172760,,,,,,,
"Frank Wilczek","male","1951-05-15","New York, NY","USA","New York, NY","USA","North America","778","778","2004","Physics","The Nobel Prize in Physics","3","1/3","2004-10-05","received","for the discovery of asymptotic freedom in the theory of the strong interaction",10000000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Frans Eemil Sillanpää","male","1888-09-16","Hämeenkyrö","Russian Empire","Hämeenkyrö","Finland","Europe","613","613","1939","Literature","The Nobel Prize in Literature","1","1","1939-11-10","received","for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature",148822,,,,,,,
"Frédéric Joliot","male","1900-03-19","Paris","France","Paris","France","Europe","193","193","1935","Chemistry","The Nobel Prize in Chemistry","1","1/2","1935-11-14","received","in recognition of their synthesis of new radioactive elements",159917,"Institut du Radium","Institut du Radium","Paris","France","Paris","France","Europe"
"Frédéric Mistral","male","1830-09-08","Maillane","France","Maillane","France","Europe","573","573","1904","Literature","The Nobel Prize in Literature","1","1/2","1904-11-17","received","in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",140859,,,,,,,
"Frédéric Passy","male","1822-05-20","Paris","France","Paris","France","Europe","463","463","1901","Peace","The Nobel Peace Prize","2","1/2","1901-12-10","received","for his lifelong work for international peace conferences, diplomacy and arbitration",150782,,,,,,,
"Frederick C. Robbins","male","1916-08-25","Auburn, AL","USA","Auburn, AL","USA","North America","358","358","1954","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1954-10-21","received","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",181647,"Western Reserve University","Western Reserve University","Cleveland, OH","USA","Cleveland, OH","USA","North America"
"Frederick G. Banting","male","1891-11-14","Alliston","Canada","Alliston","Canada","North America","313","313","1923","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1923-10-25","received","for the discovery of insulin",114935,"University of Toronto","University of Toronto","Toronto","Canada","Toronto","Canada","North America"
"Frederick Reines","male","1918-03-16","Paterson, NJ","USA","Paterson, NJ","USA","North America","148","148","1995","Physics","The Nobel Prize in Physics","2","1/2","1995-10-11","received","for the detection of the neutrino",7200000,"University of California","University of California","Irvine, CA","USA","Irvine, CA","USA","North America"
"Frederick Sanger","male","1918-08-13","Rendcombe","United Kingdom","Rendcombe","United Kingdom","Europe","222","222","1958","Chemistry","The Nobel Prize in Chemistry","1","1","1958-10-28","received","for his work on the structure of proteins, especially that of insulin",214559,"University of Cambridge","University of Cambridge","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Frederick Sanger","male","1918-08-13","Rendcombe","United Kingdom","Rendcombe","United Kingdom","Europe","222","222","1980","Chemistry","The Nobel Prize in Chemistry","3","1/4","1980-10-14","received","for their contributions concerning the determination of base sequences in nucleic acids",880000,"MRC Laboratory of Molecular Biology","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Frederick Soddy","male","1877-09-02","Eastbourne","United Kingdom","Eastbourne","United Kingdom","Europe","179","179","1921","Chemistry","The Nobel Prize in Chemistry","1","1","1922-11-09","received","for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",121573,"University of Oxford","University of Oxford","Oxford","United Kingdom","Oxford","United Kingdom","Europe"
"Fredrik Bajer","male","1837-04-21","N?stved","Denmark","N?stved","Denmark","Europe","474","474","1908","Peace","The Nobel Peace Prize","2","1/2","1908-12-10","received","for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,,,,,,,
"Fridtjof Nansen","male","1861-10-10","Kristiania","Norway","Oslo","Norway","Europe","487","487","1922","Peace","The Nobel Peace Prize","1","1","1922-12-10","received","for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",122483,,,,,,,
"Friedrich Bergius","male","1884-10-11","Goldschmieden, near Breslau","Germany","Goldschmieden, near Breslau","Poland","Europe","190","190","1931","Chemistry","The Nobel Prize in Chemistry","2","1/2","1931-11-12","received","in recognition of their contributions to the invention and development of chemical high pressure methods",173206,"University of Heidelberg","University of Heidelberg","Heidelberg","Germany","Heidelberg","Germany","Europe"
"Friedrich Bergius","male","1884-10-11","Goldschmieden, near Breslau","Germany","Goldschmieden, near Breslau","Poland","Europe","190","190","1931","Chemistry","The Nobel Prize in Chemistry","2","1/2","1931-11-12","received","in recognition of their contributions to the invention and development of chemical high pressure methods",173206,"I.G. Farbenindustrie A.G.","I.G. Farbenindustrie A.G.","Mannheim-Rheinau","Germany","Mannheim-Rheinau","Germany","Europe"
"Friedrich von Hayek","male","1899-05-08","Vienna","Austria","Vienna","Austria","Europe","685","685","1974","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","2","1/2","1974-10-09","received","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",550000,,,,,,,
,,,,,,,,"508","508","1947","Peace","The Nobel Peace Prize","1","1/2","1947-10-30","received","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",146115,,,,,,,
"Frits Zernike","male","1888-07-16","Amsterdam","the Netherlands","Amsterdam","the Netherlands","Europe","60","60","1953","Physics","The Nobel Prize in Physics","1","1","1953-11-04","received","for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",175293,"Groningen University","Groningen University","Groningen","the Netherlands","Groningen","the Netherlands","Europe"
"Fritz Haber","male","1868-12-09","Breslau","Prussia","Wroclaw","Poland","Europe","177","177","1918","Chemistry","The Nobel Prize in Chemistry","1","1","1919-11-13","received","for the synthesis of ammonia from its elements",138198,"Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie","Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie","Berlin-Dahlem","Germany","Berlin-Dahlem","Germany","Europe"
"Fritz Lipmann","male","1899-06-12","Koenigsberg","Germany","Kaliningrad","Russia","Europe","355","355","1953","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","1953-10-22","received","for his discovery of co-enzyme A and its importance for intermediary metabolism",175293,"Harvard Medical School","Harvard Medical School","Boston, MA","USA","Boston, MA","USA","North America"
"Fritz Lipmann","male","1899-06-12","Koenigsberg","Germany","Kaliningrad","Russia","Europe","355","355","1953","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","1953-10-22","received","for his discovery of co-enzyme A and its importance for intermediary metabolism",175293,"Massachusetts General Hospital","Massachusetts General Hospital","Boston, MA","USA","Boston, MA","USA","North America"
"Fritz Pregl","male","1869-09-03","Laibach","Austria-Hungary","Ljubljana","Slovenia","Europe","181","181","1923","Chemistry","The Nobel Prize in Chemistry","1","1","1923-11-13","received","for his invention of the method of micro-analysis of organic substances",114935,"Graz University","Graz University","Graz","Austria","Graz","Austria","Europe"
"Gabriel García Márquez","male","1927-03-06","Aracataca","Colombia","Aracataca","Colombia","South America","659","659","1982","Literature","The Nobel Prize in Literature","1","1","1982-10-21","received","for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1150000,,,,,,,
"Gabriel Lippmann","male","1845-08-16","Hollerich","Luxembourg","Hollerich","Luxembourg","Europe","12","12","1908","Physics","The Nobel Prize in Physics","1","1","1908-11-10","received","for his method of reproducing colours photographically based on the phenomenon of interference",139800,"Sorbonne University","Sorbonne University","Paris","France","Paris","France","Europe"
"Gabriela Mistral","female","1889-04-07","Vicu?a","Chile","Vicu?a","Chile","South America","615","615","1945","Literature","The Nobel Prize in Literature","1","1","1945-11-15","received","for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",121333,,,,,,,
"Gao Xingjian","male","1940-01-04","Ganzhou","China","Ganzhou","China","Asia","734","734","2000","Literature","The Nobel Prize in Literature","1","1","2000-10-12","received","for an ?uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",9000000,,,,,,,
"Gary Becker","male","1930-12-02","Pottsville, PA","USA","Pottsville, PA","USA","North America","708","708","1992","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1992-10-13","received","for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",6500000,"University of Chicago","University of Chicago","Chicago, IL","USA","Chicago, IL","USA","North America"
"Gary Ruvkun","male","1952-00-00","Berkeley, CA","USA","Berkeley, CA","USA","North America","1036","1036","2024","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","2024-10-07","received","for the discovery of microRNA and its role in post-transcriptional gene regulation",11000000,"Massachusetts General Hospital","Massachusetts General Hospital","Boston, MA","USA","Boston, MA","USA","North America"
"Gary Ruvkun","male","1952-00-00","Berkeley, CA","USA","Berkeley, CA","USA","North America","1036","1036","2024","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","2024-10-07","received","for the discovery of microRNA and its role in post-transcriptional gene regulation",11000000,"Harvard Medical School","Harvard Medical School","Boston, MA","USA","Boston, MA","USA","North America"
"Geoffrey Hinton","male","1947-12-06","London","United Kingdom","London","United Kingdom","Europe","1038","1038","2024","Physics","The Nobel Prize in Physics","2","1/2","2024-10-08","received","for foundational discoveries and inventions that enable machine learning with artificial neural networks",11000000,"University of Toronto","University of Toronto","Toronto","Canada","Toronto","Canada","North America"
"Geoffrey Wilkinson","male","1921-07-14","Todmorden","United Kingdom","Todmorden","United Kingdom","Europe","245","245","1973","Chemistry","The Nobel Prize in Chemistry","2","1/2","1973-10-23","received","for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",510000,"Imperial College","Imperial College","London","United Kingdom","London","United Kingdom","Europe"
"Georg von Békésy","male","1899-06-03","Budapest","Hungary","Budapest","Hungary","Europe","371","371","1961","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1961-10-19","received","for his discoveries of the physical mechanism of stimulation within the cochlea",250233,"Harvard University","Harvard University","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Georg Wittig","male","1897-06-16","Berlin","Germany","Berlin","Germany","Europe","253","253","1979","Chemistry","The Nobel Prize in Chemistry","2","1/2","1979-10-15","received","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",800000,"University of Heidelberg","University of Heidelberg","Heidelberg","Germany","Heidelberg","Germany","Europe"
"George A. Akerlof","male","1940-06-17","New Haven, CT","USA","New Haven, CT","USA","North America","744","744","2001","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/3","2001-10-10","received","for their analyses of markets with asymmetric information",10000000,"University of California","University of California","Berkeley, CA","USA","Berkeley, CA","USA","North America"
"George A. Olah","male","1927-05-22","Budapest","Hungary","Budapest","Hungary","Europe","280","280","1994","Chemistry","The Nobel Prize in Chemistry","1","1","1994-10-12","received","for his contribution to carbocation chemistry",7000000,"University of Southern California","University of Southern California","Los Angeles, CA","USA","Los Angeles, CA","USA","North America"
"George Beadle","male","1903-10-22","Wahoo, NE","USA","Wahoo, NE","USA","North America","364","364","1958","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/4","1958-10-30","received","for their discovery that genes act by regulating definite chemical events",214559,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"George Bernard Shaw","male","1856-07-26","Dublin","Ireland","Dublin","Ireland","Europe","596","596","1925","Literature","The Nobel Prize in Literature","1","1","1926-11-11","received","for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",118165,,,,,,,
"George C. Marshall","male","1880-12-31","Uniontown, PA","USA","Uniontown, PA","USA","North America","514","514","1953","Peace","The Nobel Peace Prize","1","1","1953-10-30","received","for proposing and supervising the plan for the economic recovery of Europe",175293,,,,,,,
"George D. Snell","male","1903-12-19","Bradford, MA","USA","Bradford, MA","USA","North America","421","421","1980","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1980-10-10","received","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions",880000,"Jackson Laboratory","Jackson Laboratory","Bar Harbor, ME","USA","Bar Harbor, ME","USA","North America"
"George de Hevesy","male","1885-08-01","Budapest","Austria-Hungary","Budapest","Hungary","Europe","201","201","1943","Chemistry","The Nobel Prize in Chemistry","1","1","1944-11-09","received","for his work on the use of isotopes as tracers in the study of chemical processes",123691,"Stockholm University","Stockholm University","Stockholm","Sweden","Stockholm","Sweden","Europe"
"George E. Palade","male","1912-11-19","Iasi","Romania","Iasi","Romania","Europe","405","405","1974","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1974-10-10","received","for their discoveries concerning the structural and functional organization of the cell",550000,"Yale University, School of Medicine","Yale University, School of Medicine","New Haven, CT","USA","New Haven, CT","USA","North America"
"George E. Smith","male","1930-05-10","White Plains, NY","USA","White Plains, NY","USA","North America","840","840","2009","Physics","The Nobel Prize in Physics","3","1/4","2009-10-06","received","for the invention of an imaging semiconductor circuit - the CCD sensor",10000000,"Bell Laboratories","Bell Laboratories","Murray Hill, NJ","USA","Murray Hill, NJ","USA","North America"
"George F. Smoot","male","1945-02-20","Yukon, FL","USA","Yukon, FL","USA","North America","805","805","2006","Physics","The Nobel Prize in Physics","2","1/2","2006-10-03","received","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation",10000000,"University of California","University of California","Berkeley, CA","USA","Berkeley, CA","USA","North America"
"George H. Hitchings","male","1905-04-18","Hoquiam, WA","USA","Hoquiam, WA","USA","North America","439","439","1988","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1988-10-17","received","for their discoveries of important principles for drug treatment",2500000,"Wellcome Research Laboratories","Wellcome Research Laboratories","Research Triangle Park, NC","USA","Research Triangle Park, NC","USA","North America"
"George H. Whipple","male","1878-08-28","Ashland, NH","USA","Ashland, NH","USA","North America","326","326","1934","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1934-10-25","received","for their discoveries concerning liver therapy in cases of anaemia",162608,"University of Rochester","University of Rochester","Rochester, NY","USA","Rochester, NY","USA","North America"
"George J. Stigler","male","1911-01-17","Renton, WA","USA","Renton, WA","USA","North America","696","696","1982","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1982-10-20","received","for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1150000,"University of Chicago","University of Chicago","Chicago, IL","USA","Chicago, IL","USA","North America"
"George P. Smith","male","1941-03-10","Norwalk, CT","USA","Norwalk, CT","USA","North America","964","964","2018","Chemistry","The Nobel Prize in Chemistry","2","1/4","2018-10-03","received","for the phage display of peptides and antibodies",9000000,"University of Missouri","University of Missouri","Columbia","USA","Columbia","USA","North America"
"George Paget Thomson","male","1892-05-03","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe","45","45","1937","Physics","The Nobel Prize in Physics","2","1/2","1937-11-11","received","for their experimental discovery of the diffraction of electrons by crystals",158463,"London University","London University","London","United Kingdom","London","United Kingdom","Europe"
"George Porter","male","1920-12-06","Stainforth","United Kingdom","Stainforth","United Kingdom","Europe","235","235","1967","Chemistry","The Nobel Prize in Chemistry","3","1/4","1967-10-30","received","for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",320000,"Royal Institution of Great Britain","Royal Institution of Great Britain","London","United Kingdom","London","United Kingdom","Europe"
"George R. Minot","male","1885-12-02","Boston, MA","USA","Boston, MA","USA","North America","327","327","1934","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1934-10-25","received","for their discoveries concerning liver therapy in cases of anaemia",162608,"Harvard University","Harvard University","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"George Wald","male","1906-11-18","New York, NY","USA","New York, NY","USA","North America","387","387","1967","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1967-10-18","received","for their discoveries concerning the primary physiological and chemical visual processes in the eye",320000,"Harvard University","Harvard University","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Georges Charpak","male","1924-08-01","Dabrovica","Poland","Dabrovica","Poland","Europe","142","142","1992","Physics","The Nobel Prize in Physics","1","1","1992-10-14","received","for his invention and development of particle detectors, in particular the multiwire proportional chamber",6500000,"École Supérieure de Physique et Chimie","École Supérieure de Physique et Chimie","Paris","France","Paris","France","Europe"
"Georges Charpak","male","1924-08-01","Dabrovica","Poland","Dabrovica","Poland","Europe","142","142","1992","Physics","The Nobel Prize in Physics","1","1","1992-10-14","received","for his invention and development of particle detectors, in particular the multiwire proportional chamber",6500000,"CERN","CERN","Geneva","Switzerland","Geneva","Switzerland","Europe"
"Georges J.F. Köhler","male","1946-04-17","Munich","Germany","Munich","Germany","Europe","430","430","1984","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1984-10-15","received","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",1650000,"Basel Institute for Immunology","Basel Institute for Immunology","Basel","Switzerland","Basel","Switzerland","Europe"
"Georges Pire","male","1910-02-10","Dinant","Belgium","Dinant","Belgium","Europe","517","517","1958","Peace","The Nobel Peace Prize","1","1","1958-11-10","received","for his efforts to help refugees to leave their camps and return to a life of freedom and dignity",214559,,,,,,,
"Gerald M. Edelman","male","1929-07-01","New York, NY","USA","New York, NY","USA","North America","398","398","1972","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1972-10-12","received","for their discoveries concerning the chemical structure of antibodies",480000,"Rockefeller University","Rockefeller University","New York, NY","USA","New York, NY","USA","North America"
"Gerard Debreu","male","1921-07-04","Calais","France","Calais","France","Europe","697","697","1983","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1983-10-17","received","for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium",1500000,"University of California","University of California","Berkeley, CA","USA","Berkeley, CA","USA","North America"
"Gérard Mourou","male","1944-06-22","Albertville","France","Albertville","France","Europe","961","961","2018","Physics","The Nobel Prize in Physics","2","1/4","2018-10-02","received","for their method of generating high-intensity, ultra-short optical pulses",9000000,"École Polytechnique","École Polytechnique","Palaiseau","France","Palaiseau","France","Europe"
"Gérard Mourou","male","1944-06-22","Albertville","France","Albertville","France","Europe","961","961","2018","Physics","The Nobel Prize in Physics","2","1/4","2018-10-02","received","for their method of generating high-intensity, ultra-short optical pulses",9000000,"University of Michigan","University of Michigan","Ann Arbor, MI","USA","Ann Arbor, MI","USA","North America"
"Gerardus 't Hooft","male","1946-07-05","Den Helder","the Netherlands","Den Helder","the Netherlands","Europe","158","158","1999","Physics","The Nobel Prize in Physics","1","1/2","1999-10-12","received","for elucidating the quantum structure of electroweak interactions in physics",7900000,"Utrecht University","Utrecht University","Utrecht","the Netherlands","Utrecht","the Netherlands","Europe"
"Gerd Binnig","male","1947-07-20","Frankfurt-on-the-Main","West Germany","Frankfurt-on-the-Main","Germany","Europe","128","128","1986","Physics","The Nobel Prize in Physics","2","1/4","1986-10-15","received","for their design of the scanning tunneling microscope",2000000,"IBM Zurich Research Laboratory","IBM Zurich Research Laboratory","Rüschlikon","Switzerland","Rüschlikon","Switzerland","Europe"
"Gerhard Domagk","male","1895-10-30","Lagow","Germany","Lagow","Poland","Europe","334","334","1939","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1939-10-26","received","for the discovery of the antibacterial effects of prontosil",148822,"Munster University","Munster University","Munster","Germany","Munster","Germany","Europe"
"Gerhard Ertl","male","1936-10-10","Bad Cannstatt","Germany","Bad Cannstatt","Germany","Europe","816","816","2007","Chemistry","The Nobel Prize in Chemistry","1","1","2007-10-10","received","for his studies of chemical processes on solid surfaces",10000000,"Fritz-Haber-Institut der Max-Planck-Gesellschaft","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Berlin","Germany","Berlin","Germany","Europe"
"Gerhard Herzberg","male","1904-12-25","Hamburg","Germany","Hamburg","Germany","Europe","240","240","1971","Chemistry","The Nobel Prize in Chemistry","1","1","1971-11-02","received","for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",450000,"National Research Council of Canada","National Research Council of Canada","Ottawa","Canada","Ottawa","Canada","North America"
